"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"20209",91,0,0,0,0,0,0,3,19,57,113,153,88,150,313,199,83
"21001",2,0,0,0,0,0,0,0,0,1,5,37,10,26,2,7,6
"21003",3,0,0,0,0,0,0,0,2,0,0,0,2,5,7,14,11
"21005",2,0,0,0,0,0,0,0,2,1,0,1,3,1,1,1,3
"21007",0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1
"21009",6,0,0,0,0,0,0,0,0,1,0,4,2,8,7,8,4
"21011",1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0
"21013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21015",20,0,0,0,0,0,0,0,2,1,28,25,30,39,66,47,121
"21017",1,0,0,0,0,0,0,1,0,0,0,3,2,1,1,0,0
"21019",0,0,0,0,0,0,0,0,0,4,7,13,5,2,0,6,2
"21021",1,0,0,0,0,0,0,0,0,3,0,9,1,3,0,1,2
"21023",1,0,0,0,0,0,0,0,0,3,0,2,2,0,2,0,1
"21025",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"21027",1,0,0,0,0,0,0,0,0,3,0,0,3,2,1,4,2
"21029",2,0,0,0,0,0,0,0,0,3,8,19,3,18,17,18,13
"21031",2,0,0,0,0,0,0,0,0,1,0,23,50,39,68,19,17
"21033",0,0,0,0,0,0,0,0,0,1,0,9,2,0,0,0,0
"21035",2,0,0,0,0,0,0,0,2,1,0,12,7,9,4,8,4
"21037",9,0,0,0,0,0,0,0,2,1,32,12,13,25,18,17,15
"21039",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"21041",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"21043",0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2
"21045",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"21047",3,0,0,0,0,0,0,0,2,1,41,27,8,7,5,4,3
"21049",16,0,0,0,0,0,0,1,1,1,10,5,1,0,1,0,1
"21051",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"21053",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"21055",1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
"21057",0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0
"21059",4,0,0,0,0,0,0,0,5,0,0,0,120,44,73,32,22
"21061",3,0,0,0,0,0,0,0,0,1,4,2,0,10,19,9,5
"21063",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21067",12,0,0,0,0,0,0,5,16,89,49,47,13,23,56,111,182
"21069",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"21071",0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,1
"21073",4,0,0,0,0,0,0,0,1,0,0,10,2,3,0,2,2
"21075",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"21077",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"21079",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"21081",1,0,0,0,0,0,0,0,0,2,3,9,3,3,6,4,5
"21083",0,0,0,0,0,0,0,0,0,1,0,15,52,54,20,7,3
"21085",11,0,0,0,0,0,0,0,0,2,0,3,11,44,30,9,10
"21087",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"21089",0,0,0,0,0,0,0,0,0,0,1,6,3,1,1,1,0
"21091",0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
"21093",5,0,0,0,0,0,0,0,2,0,0,23,5,7,15,11,22
"21095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21097",0,0,0,0,0,0,3,3,8,0,0,0,2,1,1,0,0
"21099",1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,7
"21101",2,0,0,0,0,0,0,0,2,0,18,0,16,22,14,8,11
"21103",1,0,0,0,0,0,0,0,0,0,1,2,0,3,2,2,3
