"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"02158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"02180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"02198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04001",3,0,0,0,0,0,0,0,0,0,3,1,1,0,2,4,9
"04003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"04005",3,0,0,0,0,0,0,0,1,3,6,12,9,7,8,12,8
"04007",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"04009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"04013",29,0,0,0,0,0,0,0,3,5,28,18,29,54,38,84,80
"04015",5,0,0,0,0,0,0,0,0,0,0,2,1,1,12,10,2
"04017",5,0,0,0,0,0,0,0,0,1,5,3,2,7,8,15,7
"04019",16,0,0,0,0,0,0,0,1,7,7,17,33,13,11,47,22
"04021",5,0,0,0,0,0,0,0,0,0,0,5,2,2,6,5,12
"04023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
"04027",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
"05001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05011",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"05013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05023",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"05025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"05029",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"05031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05035",1,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,0
"05037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05043",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"05045",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"05047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05057",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"05059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05069",3,0,0,0,0,0,0,0,0,0,1,4,2,6,6,0,1
"05071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05073",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"05075",1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
"05077",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"05079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1
"05081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
